0.533	3.101	1	0	14.34	-0.05
0.750	3.081	0	1	0.07	16.80
0.409	3.178	0	1	-0.01	7.17
0.690	3.122	0	0	-0.08	-0.12
0.780	3.072	1	0	12.08	0.16
0.412	3.106	1	1	0.99	25.74
0.226	3.022	1	0	1.26	-0.07
0.481	3.097	1	0	16.80	0.36
0.264	3.101	0	1	-0.24	0.52
0.551	3.096	0	0	0.18	-0.08
0.342	3.075	0	0	-0.01	0.17
0.414	3.065	0	0	0.10	0.06
0.963	3.094	1	1	10.08	1.12
0.344	3.077	0	1	0.14	1.69
0.578	3.128	1	1	10.43	21.80
0.389	3.122	1	0	6.05	-0.04
0.969	3.086	0	1	0.03	6.59
0.246	3.049	1	0	2.21	0.02
0.452	3.110	1	1	6.13	8.61
0.282	3.110	0	0	-0.01	-0.08
0.272	3.105	0	1	0.11	40.75
0.330	3.131	1	1	7.82	0.76
0.339	3.113	0	0	0.03	-0.14
0.233	3.125	0	1	-0.01	7.93
0.484	3.097	0	1	0.03	0.82
0.373	3.006	1	0	8.93	-0.06
0.627	3.025	0	0	0.03	0.04
0.380	3.118	0	1	-0.02	22.89
0.214	3.135	0	0	0.10	-0.20
0.434	3.056	0	1	-0.09	4.06
0.263	3.099	1	1	0.82	3.96
0.987	3.090	0	1	0.02	22.15
0.476	3.091	1	0	1.01	-0.28
0.418	3.107	1	1	28.38	6.04
0.266	3.088	0	0	0.03	0.09
0.875	3.131	1	0	3.21	-0.06
0.812	3.033	0	0	0.02	-0.20
0.840	3.136	0	1	-0.10	4.39
0.511	3.001	1	0	16.77	0.02
0.470	3.065	1	0	0.57	0.12
0.527	3.063	0	1	0.10	30.13
0.338	3.138	0	0	0.02	0.16
0.455	3.087	1	1	17.78	1.63
0.214	3.092	0	1	-3.40	19.85
0.511	3.120	0	1	0.06	2.29
0.644	3.044	0	1	-0.09	12.04
0.573	3.116	0	0	-0.05	0.19
0.560	3.062	0	1	0.02	15.21
0.336	3.081	0	1	0.07	1.17
0.624	3.078	0	1	-0.12	1.03
0.889	3.099	0	1	-0.01	5.31
0.244	3.098	0	0	0.03	0.15
0.291	3.080	1	0	15.97	-0.12
0.271	3.189	0	0	-0.01	0.19
0.650	3.159	0	0	0.07	-0.12
0.807	3.038	0	0	-0.09	-0.04
0.880	3.183	0	0	-0.17	0.02
0.445	3.105	1	0	3.45	-0.16
0.365	3.089	0	1	0.07	1.25
0.291	3.106	1	0	0.84	0.11
0.815	3.126	0	1	0.11	0.86
0.304	3.104	1	0	2.13	-0.12
0.476	3.085	1	0	1.00	0.07
0.229	3.106	0	1	-0.05	5.89
0.216	3.124	0	0	0.07	0.07
0.527	3.111	0	1	0.03	7.84
0.232	3.127	0	0	-0.01	0.09
0.262	3.098	0	0	0.07	-0.06
0.343	3.064	1	0	0.89	0.03
0.258	3.156	0	0	0.03	-0.49
0.916	3.104	1	0	23.50	-0.18
